reviewer,paper_id,excluded,category,question,raw_value,tag
amar,4K6NZE25,False,General information,Code available?,no,
amar,4K6NZE25,False,General information,Project status,Not applicable,
amar,4K6NZE25,False,General information,License,Not applicable,
amar,4K6NZE25,False,General information,Additional information,No additional information,
amar,4K6NZE25,False,Target platform (RQ1),Deployment,Robot simulation,
amar,4K6NZE25,False,Target platform (RQ1),Deployment,Real robot,
amar,4K6NZE25,False,Target platform (RQ1),Robotic device,Mobile platform,
amar,4K6NZE25,False,Target platform (RQ1),Robotic device,Drone,
amar,4K6NZE25,False,Target platform (RQ1),Simulation environment,Other: MATLAB,Other
amar,4K6NZE25,False,Target platform (RQ1),Domain,Underspecified,
amar,4K6NZE25,False,Target platform (RQ1),Use case,Navigation,
amar,4K6NZE25,False,Target platform (RQ1),Location,Laboratory,
amar,4K6NZE25,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,4K6NZE25,False,Software characteristics (RQ2),Middleware,ROS1,
amar,4K6NZE25,False,Software characteristics (RQ2),Control algorithm,Other: ORCA; DWA,Other
amar,4K6NZE25,False,Software characteristics (RQ2),Adaptation,"Yes, autonomous adaptation",
amar,4K6NZE25,False,Software characteristics (RQ2),Goal of adaptation,Continuous learning,
amar,4K6NZE25,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Pre-hoc,
amar,4K6NZE25,False,Explanation structure (RQ3),Generation technique,Tree-based,
amar,4K6NZE25,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,4K6NZE25,False,Explanation structure (RQ3),Explanatory question,How,
amar,4K6NZE25,False,Explanation structure (RQ3),Explanatory question,Why,
amar,4K6NZE25,False,Explanation structure (RQ3),Planning level scope,Action level,
amar,4K6NZE25,False,Explanation structure (RQ3),Presentation modality,Underspecified,
amar,4K6NZE25,False,Stakeholder (RQ4),HRI Type,Coexistence,
amar,4K6NZE25,False,Stakeholder (RQ4),Motivation,Control,
amar,4K6NZE25,False,Stakeholder (RQ4),Stakeholder type,Bystander,
amar,4K6NZE25,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,4K6NZE25,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,4K6NZE25,False,Evaluation (RQ5),Evaluation metrics,Not applicable,
amar,NNZH8T5S,False,General information,Code available?,yes,
amar,NNZH8T5S,False,General information,Project status,unmaintained,
amar,NNZH8T5S,False,General information,License,MIT,
amar,NNZH8T5S,False,General information,Additional information,No additional information,
amar,NNZH8T5S,False,Target platform (RQ1),Deployment,Not applicable,
amar,NNZH8T5S,False,Target platform (RQ1),Robotic device,Drone,
amar,NNZH8T5S,False,Target platform (RQ1),Simulation environment,Not applicable,
amar,NNZH8T5S,False,Target platform (RQ1),Domain,Defense and security,
amar,NNZH8T5S,False,Target platform (RQ1),Use case,Other: anomaly severity detection,Other
amar,NNZH8T5S,False,Target platform (RQ1),Location,Underspecified,
amar,NNZH8T5S,False,Target platform (RQ1),Location,Not applicable,
amar,NNZH8T5S,False,Target platform (RQ1),Multi Agent System,"No, i.e. one human - one robot",
amar,NNZH8T5S,False,Software characteristics (RQ2),Middleware,Not applicable,
amar,NNZH8T5S,False,Software characteristics (RQ2),Middleware,Underspecified,
amar,NNZH8T5S,False,Software characteristics (RQ2),Control algorithm,Not applicable,
amar,NNZH8T5S,False,Software characteristics (RQ2),Adaptation,Underspecified,
amar,NNZH8T5S,False,Software characteristics (RQ2),Goal of adaptation,Not applicable,
amar,NNZH8T5S,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,NNZH8T5S,False,Explanation structure (RQ3),Generation technique,Other: Gradient-based,Other
amar,NNZH8T5S,False,Explanation structure (RQ3),Explained robot part,Perception,
amar,NNZH8T5S,False,Explanation structure (RQ3),Explanatory question,Why,
amar,NNZH8T5S,False,Explanation structure (RQ3),Planning level scope,Action level,
amar,NNZH8T5S,False,Explanation structure (RQ3),Presentation modality,Plot,
amar,NNZH8T5S,False,Explanation structure (RQ3),Presentation modality,Text,
amar,NNZH8T5S,False,Explanation structure (RQ3),Presentation modality,Logs,
amar,NNZH8T5S,False,Stakeholder (RQ4),HRI Type,No coexistence,
amar,NNZH8T5S,False,Stakeholder (RQ4),Motivation,Transparency,
amar,NNZH8T5S,False,Stakeholder (RQ4),Stakeholder type,Domain expert,
amar,NNZH8T5S,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,NNZH8T5S,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,NNZH8T5S,False,Evaluation (RQ5),Evaluation metrics,Not applicable,
amar,DJ53NPPG,False,General information,Code available?,no,
amar,DJ53NPPG,False,General information,Project status,Not applicable,
amar,DJ53NPPG,False,General information,License,Not applicable,
amar,DJ53NPPG,False,General information,Additional information,No additional information,
amar,DJ53NPPG,False,Target platform (RQ1),Deployment,Other simulation,
amar,DJ53NPPG,False,Target platform (RQ1),Robotic device,Drone,
amar,DJ53NPPG,False,Target platform (RQ1),Simulation environment,Unity,
amar,DJ53NPPG,False,Target platform (RQ1),Domain,Transportation and logistics,
amar,DJ53NPPG,False,Target platform (RQ1),Use case,Navigation,
amar,DJ53NPPG,False,Target platform (RQ1),Location,Field,
amar,DJ53NPPG,False,Target platform (RQ1),Multi Agent System,Multiple humans - multiple robots,
amar,DJ53NPPG,False,Target platform (RQ1),Multi Agent System,One human - multiple robots,
amar,DJ53NPPG,False,Software characteristics (RQ2),Middleware,Mo Middleware,
amar,DJ53NPPG,False,Software characteristics (RQ2),Control algorithm,RL,
amar,DJ53NPPG,False,Software characteristics (RQ2),Adaptation,"Yes, autonomous adaptation",
amar,DJ53NPPG,False,Software characteristics (RQ2),Goal of adaptation,Other: Conflict resolution,Other
amar,DJ53NPPG,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,DJ53NPPG,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Intrinsic,
amar,DJ53NPPG,False,Explanation structure (RQ3),Generation technique,SHAP-based,
amar,DJ53NPPG,False,Explanation structure (RQ3),Generation technique,DL-based,
amar,DJ53NPPG,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,DJ53NPPG,False,Explanation structure (RQ3),Explanatory question,Why,
amar,DJ53NPPG,False,Explanation structure (RQ3),Planning level scope,Policy level,
amar,DJ53NPPG,False,Explanation structure (RQ3),Presentation modality,Plot,
amar,DJ53NPPG,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,DJ53NPPG,False,Stakeholder (RQ4),HRI Type,Human supervision,
amar,DJ53NPPG,False,Stakeholder (RQ4),Motivation,Transparency,
amar,DJ53NPPG,False,Stakeholder (RQ4),Motivation,Other: fairness,Other
amar,DJ53NPPG,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,DJ53NPPG,False,Stakeholder (RQ4),Stakeholder type,Regulatory body,
amar,DJ53NPPG,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,DJ53NPPG,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Qualitative",
amar,DJ53NPPG,False,Evaluation (RQ5),Evaluation metrics,"Other: fairness, trajectory similarity",Other
amar,7EQMTRS5,False,General information,Code available?,yes,
amar,7EQMTRS5,False,General information,Project status,unmaintained,
amar,7EQMTRS5,False,General information,License,Underspecified,
amar,7EQMTRS5,False,General information,Additional information,No additional information,
amar,7EQMTRS5,False,Target platform (RQ1),Deployment,Real robot,
amar,7EQMTRS5,False,Target platform (RQ1),Robotic device,Humanoid robot,
amar,7EQMTRS5,False,Target platform (RQ1),Simulation environment,Not applicable,
amar,7EQMTRS5,False,Target platform (RQ1),Domain,Hospitality and entertainment,
amar,7EQMTRS5,False,Target platform (RQ1),Use case,Other: multi-party conversation,Other
amar,7EQMTRS5,False,Target platform (RQ1),Location,Laboratory,
amar,7EQMTRS5,False,Target platform (RQ1),Multi Agent System,Multiple humans - one robot,
amar,7EQMTRS5,False,Software characteristics (RQ2),Middleware,YARP,
amar,7EQMTRS5,False,Software characteristics (RQ2),Control algorithm,DL-Based,
amar,7EQMTRS5,False,Software characteristics (RQ2),Control algorithm,Cognitive architecture,
amar,7EQMTRS5,False,Software characteristics (RQ2),Adaptation,"Yes, autonomous adaptation",
amar,7EQMTRS5,False,Software characteristics (RQ2),Goal of adaptation,Other: interaction adaptation,Other
amar,7EQMTRS5,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Intrinsic,
amar,7EQMTRS5,False,Explanation structure (RQ3),Generation technique,DL-based,
amar,7EQMTRS5,False,Explanation structure (RQ3),Explained robot part,Perception,
amar,7EQMTRS5,False,Explanation structure (RQ3),Explanatory question,Why,
amar,7EQMTRS5,False,Explanation structure (RQ3),Planning level scope,Action level,
amar,7EQMTRS5,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,7EQMTRS5,False,Explanation structure (RQ3),Presentation modality,Speech,
amar,7EQMTRS5,False,Explanation structure (RQ3),Presentation modality,Expressive lights,
amar,7EQMTRS5,False,Stakeholder (RQ4),HRI Type,Coexistence,
amar,7EQMTRS5,False,Stakeholder (RQ4),Motivation,Transparency,
amar,7EQMTRS5,False,Stakeholder (RQ4),Motivation,Trust (increase),
amar,7EQMTRS5,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,7EQMTRS5,False,Stakeholder (RQ4),Stakeholder type,Developer,
amar,7EQMTRS5,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,7EQMTRS5,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,7EQMTRS5,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,7EQMTRS5,False,Evaluation (RQ5),Evaluation metrics,Satisfaction,
amar,7EQMTRS5,False,Evaluation (RQ5),Evaluation metrics,Trust,
amar,7EQMTRS5,False,Evaluation (RQ5),Evaluation metrics,Competence,
amar,NW8A9XC5,False,General information,Code available?,no,
amar,NW8A9XC5,False,General information,Project status,Not applicable,
amar,NW8A9XC5,False,General information,License,Not applicable,
amar,NW8A9XC5,False,General information,Additional information,No additional information,
amar,NW8A9XC5,False,Target platform (RQ1),Deployment,Robot simulation,
amar,NW8A9XC5,False,Target platform (RQ1),Robotic device,Manipulator (unspecified) => Use if not further specified,
amar,NW8A9XC5,False,Target platform (RQ1),Simulation environment,Other: OpenRAVE,Other
amar,NW8A9XC5,False,Target platform (RQ1),Domain,Other: General motion planning,Other
amar,NW8A9XC5,False,Target platform (RQ1),Use case,Manipulation,
amar,NW8A9XC5,False,Target platform (RQ1),Location,Not applicable,
amar,NW8A9XC5,False,Target platform (RQ1),Multi Agent System,Underspecified,
amar,NW8A9XC5,False,Software characteristics (RQ2),Middleware,Mo Middleware,
amar,NW8A9XC5,False,Software characteristics (RQ2),Control algorithm,Other: Optimization- and sampling-based motion planning,Other
amar,NW8A9XC5,False,Software characteristics (RQ2),Adaptation,"Yes, with user involvement",
amar,NW8A9XC5,False,Software characteristics (RQ2),Goal of adaptation,"Other: human-guided planning, explanation",Other
amar,NW8A9XC5,False,Explanation structure (RQ3),Intrinsic vs. post-hoc,Post-hoc,
amar,NW8A9XC5,False,Explanation structure (RQ3),Generation technique,"Other: this is the paper with those several techniques: cost-, environment-, etc., based",Other
amar,NW8A9XC5,False,Explanation structure (RQ3),Explained robot part,Behaviour,
amar,NW8A9XC5,False,Explanation structure (RQ3),Explanatory question,Why,
amar,NW8A9XC5,False,Explanation structure (RQ3),Planning level scope,Sequence level,
amar,NW8A9XC5,False,Explanation structure (RQ3),Presentation modality,Visualization,
amar,NW8A9XC5,False,Explanation structure (RQ3),Presentation modality,Text,
amar,NW8A9XC5,False,Stakeholder (RQ4),HRI Type,Human supervision,
amar,NW8A9XC5,False,Stakeholder (RQ4),Motivation,Debugging,
amar,NW8A9XC5,False,Stakeholder (RQ4),Motivation,Trust (unspecified),
amar,NW8A9XC5,False,Stakeholder (RQ4),Stakeholder type,Developer,
amar,NW8A9XC5,False,Stakeholder (RQ4),Stakeholder type,Operator / End user (non-expert),
amar,NW8A9XC5,False,Evaluation (RQ5),State of explainability,Evaluated,
amar,NW8A9XC5,False,Evaluation (RQ5),Type of explainability evaluation,"Technical (Benchmark), Quantitative",
amar,NW8A9XC5,False,Evaluation (RQ5),Type of explainability evaluation,"User study, Quantitative",
amar,NW8A9XC5,False,Evaluation (RQ5),Evaluation metrics,Satisfaction,
amar,8DZ6PNVQ,False,General information,Code available?,no,
amar,8DZ6PNVQ,False,General information,Project status,Not applicable,
